Категория;Имя_в_дереве;Числитель_Сортамент;Знаменатель_Материал;Типоразмер;ГОСТ_Сортамент;Марка_Материала;ГОСТ_Материал;Штриховка
01. Прокат листовой горячекатаный (ГОСТ 19903-2015);Лист 2,5 ГОСТ 19903-2015 / Ст3сп ГОСТ 16523-97;Лист Б-ПН-НО-2,5 ГОСТ 19903-2015;Ст3сп ГОСТ 16523-97;2,5;ГОСТ 19903-2015;Ст3сп;ГОСТ 16523-97;DIN 201 сталь и отлитый из стали металл
01. Прокат листовой горячекатаный (ГОСТ 19903-2015);Лист 3,0 ГОСТ 19903-2015 / Ст3сп ГОСТ 16523-97;Лист Б-ПН-НО-3,0 ГОСТ 19903-2015;Ст3сп ГОСТ 16523-97;3,0;ГОСТ 19903-2015;Ст3сп;ГОСТ 16523-97;DIN 201 сталь и отлитый из стали металл
01. Прокат листовой горячекатаный (ГОСТ 19903-2015);Лист 4,0 ГОСТ 19903-2015 / Ст3сп ГОСТ 14637-2024;Лист Б-ПН-НО-4,0 ГОСТ 19903-2015;Ст3сп ГОСТ 14637-2024;4,0;ГОСТ 19903-2015;Ст3сп;ГОСТ 14637-2024;DIN 201 сталь и отлитый из стали металл
01. Прокат листовой горячекатаный (ГОСТ 19903-2015);Лист 6,0 ГОСТ 19903-2015 / 09Г2С ГОСТ 19281-2014;Лист Б-ПН-НО-6,0 ГОСТ 19903-2015;09Г2С ГОСТ 19281-2014;6,0;ГОСТ 19903-2015;09Г2С;ГОСТ 19281-2014;DIN 201 сталь и отлитый из стали металл
01. Прокат листовой горячекатаный (ГОСТ 19903-2015);Лист 8,0 ГОСТ 19903-2015 / Ст3сп ГОСТ 14637-2024;Лист Б-ПН-НО-8,0 ГОСТ 19903-2015;Ст3сп ГОСТ 14637-2024;8,0;ГОСТ 19903-2015;Ст3сп;ГОСТ 14637-2024;DIN 201 сталь и отлитый из стали металл
01. Прокат листовой горячекатаный (ГОСТ 19903-2015);Лист 10,0 ГОСТ 19903-2015 / Ст3сп ГОСТ 14637-2024;Лист Б-ПН-НО-10,0 ГОСТ 19903-2015;Ст3сп ГОСТ 14637-2024;10,0;ГОСТ 19903-2015;Ст3сп;ГОСТ 14637-2024;DIN 201 сталь и отлитый из стали металл
01. Прокат листовой горячекатаный (ГОСТ 19903-2015);Лист рифленый 4,0 ГОСТ 8568-77 / Ст3сп ГОСТ 380-2005;Лист ромб 4,0 Ст3сп ГОСТ 8568-77;;4,0;ГОСТ 8568-77;Ст3сп;ГОСТ 380-2005;DIN 201 сталь и отлитый из стали металл
02. Прокат листовой холоднокатаный (ГОСТ 19904-90);Лист 0,8 ГОСТ 19904-90 / 08пс ГОСТ 16523-97;Лист БТ-ПО-0,8 ГОСТ 19904-90;08пс ГОСТ 16523-97;0,8;ГОСТ 19904-90;08пс;ГОСТ 16523-97;DIN 201 сталь и отлитый из стали металл
02. Прокат листовой холоднокатаный (ГОСТ 19904-90);Лист 1,0 ГОСТ 19904-90 / 08кп ГОСТ 16523-97;Лист БТ-ПО-1,0 ГОСТ 19904-90;08кп ГОСТ 16523-97;1,0;ГОСТ 19904-90;08кп;ГОСТ 16523-97;DIN 201 сталь и отлитый из стали металл
02. Прокат листовой холоднокатаный (ГОСТ 19904-90);Лист 1,2 ГОСТ 19904-90 / 08пс ГОСТ 16523-97;Лист БТ-ПО-1,2 ГОСТ 19904-90;08пс ГОСТ 16523-97;1,2;ГОСТ 19904-90;08пс;ГОСТ 16523-97;DIN 201 сталь и отлитый из стали металл
02. Прокат листовой холоднокатаный (ГОСТ 19904-90);Лист 2,0 ГОСТ 19904-90 / 08пс ГОСТ 16523-97;Лист БТ-ПО-2,0 ГОСТ 19904-90;08пс ГОСТ 16523-97;2,0;ГОСТ 19904-90;08пс;ГОСТ 16523-97;DIN 201 сталь и отлитый из стали металл
02. Прокат листовой холоднокатаный (ГОСТ 19904-90);Лист оцинкованный 0,95 ГОСТ 14918-2020 / 08пс;Лист ОЦ-Б-0,95 ГОСТ 14918-2020;08пс ГОСТ 14918-2020;0,95;ГОСТ 14918-2020;08пс;ГОСТ 14918-2020;DIN 201 сталь и отлитый из стали металл
02. Прокат листовой холоднокатаный (ГОСТ 19904-90);Лист оцинкованный 1,2 ГОСТ 14918-2020 / 08пс;Лист ОЦ-Б-1,2 ГОСТ 14918-2020;08пс ГОСТ 14918-2020;1,2;ГОСТ 14918-2020;08пс;ГОСТ 14918-2020;DIN 201 сталь и отлитый из стали металл
03. Трубы стальные профильные квадратные (ГОСТ 8639-82);Труба 20х20х1,2 ГОСТ 8639-82 / 08пс ГОСТ 13663-86;Труба 20х20х1,2 ГОСТ 8639-82;08пс ГОСТ 13663-86;20х20х1,2;ГОСТ 8639-82;08пс;ГОСТ 13663-86;DIN 201 сталь и отлитый из стали металл
03. Трубы стальные профильные квадратные (ГОСТ 8639-82);Труба 20х20х1,5 ГОСТ 8639-82 / Ст3сп ГОСТ 13663-86;Труба 20х20х1,5 ГОСТ 8639-82;Ст3сп ГОСТ 13663-86;20х20х1,5;ГОСТ 8639-82;Ст3сп;ГОСТ 13663-86;DIN 201 сталь и отлитый из стали металл
03. Трубы стальные профильные квадратные (ГОСТ 8639-82);Труба 25х25х1,5 ГОСТ 8639-82 / Ст3сп ГОСТ 13663-86;Труба 25х25х1,5 ГОСТ 8639-82;Ст3сп ГОСТ 13663-86;25х25х1,5;ГОСТ 8639-82;Ст3сп;ГОСТ 13663-86;DIN 201 сталь и отлитый из стали металл
03. Трубы стальные профильные квадратные (ГОСТ 8639-82);Труба 30х30х1,5 ГОСТ 8639-82 / 08пс ГОСТ 13663-86;Труба 30х30х1,5 ГОСТ 8639-82;08пс ГОСТ 13663-86;30х30х1,5;ГОСТ 8639-82;08пс;ГОСТ 13663-86;DIN 201 сталь и отлитый из стали металл
03. Трубы стальные профильные квадратные (ГОСТ 8639-82);Труба 40х40х1,5 ГОСТ 8639-82 / 08пс ГОСТ 13663-86;Труба 40х40х1,5 ГОСТ 8639-82;08пс ГОСТ 13663-86;40х40х1,5;ГОСТ 8639-82;08пс;ГОСТ 13663-86;DIN 201 сталь и отлитый из стали металл
03. Трубы стальные профильные квадратные (ГОСТ 8639-82);Труба 40х40х2,0 ГОСТ 8639-82 / Ст3сп ГОСТ 13663-86;Труба 40х40х2,0 ГОСТ 8639-82;Ст3сп ГОСТ 13663-86;40х40х2,0;ГОСТ 8639-82;Ст3сп;ГОСТ 13663-86;DIN 201 сталь и отлитый из стали металл
03. Трубы стальные профильные квадратные (ГОСТ 8639-82);Труба 50х50х2,0 ГОСТ 8639-82 / Ст3сп ГОСТ 13663-86;Труба 50х50х2,0 ГОСТ 8639-82;Ст3сп ГОСТ 13663-86;50х50х2,0;ГОСТ 8639-82;Ст3сп;ГОСТ 13663-86;DIN 201 сталь и отлитый из стали металл
03. Трубы стальные профильные квадратные (ГОСТ 8639-82);Труба 50х50х3,0 ГОСТ 8639-82 / Ст3сп ГОСТ 13663-86;Труба 50х50х3,0 ГОСТ 8639-82;Ст3сп ГОСТ 13663-86;50х50х3,0;ГОСТ 8639-82;Ст3сп;ГОСТ 13663-86;DIN 201 сталь и отлитый из стали металл
