Категория;Имя_в_дереве;Числитель_Сортамент;Знаменатель_Материал;Типоразмер;ГОСТ_Сортамент;Марка_Материала;ГОСТ_Материал;Штриховка
01. Прокат листовой горячекатаный (ГОСТ 19903-2015);Лист 4,0 ГОСТ 19903-2015 / Ст3сп ГОСТ 14637-89;Лист Б-ПН-НО-4,0 ГОСТ 19903-2015;Ст3сп ГОСТ 14637-89;4,0;ГОСТ 19903-2015;Ст3сп;ГОСТ 14637-89;DIN 201 сталь и отлитый из стали металл
01. Прокат листовой горячекатаный (ГОСТ 19903-2015);Лист 6,0 ГОСТ 19903-2015 / Ст3сп ГОСТ 14637-89;Лист Б-ПН-НО-6,0 ГОСТ 19903-2015;Ст3сп ГОСТ 14637-89;6,0;ГОСТ 19903-2015;Ст3сп;ГОСТ 14637-89;DIN 201 сталь и отлитый из стали металл
02. Трубы стальные профильные квадратные (ГОСТ 8639-82);Труба 80х80х4 ГОСТ 8639-82 / В 10 ГОСТ 13663-86;Труба 80х80х4 ГОСТ 8639-82;В 10 ГОСТ 13663-86;80х80х4;ГОСТ 8639-82;В 10;ГОСТ 13663-86;DIN 201 сталь и отлитый из стали металл
02. Трубы стальные профильные квадратные (ГОСТ 8639-82);Труба 100х100х4 ГОСТ 8639-82 / В 10 ГОСТ 13663-86;Труба 100х100х4 ГОСТ 8639-82;В 10 ГОСТ 13663-86;100х100х4;ГОСТ 8639-82;В 10;ГОСТ 13663-86;DIN 201 сталь и отлитый из стали металл
03. Трубы стальные бесшовные горячедеформированные (ГОСТ 8732-78);Труба 57х3,5 ГОСТ 8732-78 / В 10 ГОСТ 8731-74;Труба 57х3,5 ГОСТ 8732-78;В 10 ГОСТ 8731-74;57х3,5;ГОСТ 8732-78;В 10;ГОСТ 8731-74;DIN 201 сталь и отлитый из стали металл
03. Трубы стальные бесшовные горячедеформированные (ГОСТ 8732-78);Труба 102х4 ГОСТ 8732-78 / В 20 ГОСТ 8731-74;Труба 102х4 ГОСТ 8732-78;В 20 ГОСТ 8731-74;102х4;ГОСТ 8732-78;В 20;ГОСТ 8731-74;DIN 201 сталь и отлитый из стали металл
04. Марки сталей и сплавов (Базовые материалы);Сталь 3сп (ГОСТ 380-2005);;Ст3сп ГОСТ 380-2005;;;Ст3сп;ГОСТ 380-2005;DIN 201 сталь и отлитый из стали металл
04. Марки сталей и сплавов (Базовые материалы);Сталь 20 (ГОСТ 1050-2013);;Сталь 20 ГОСТ 1050-2013;;;Сталь 20;ГОСТ 1050-2013;DIN 201 сталь и отлитый из стали металл
04. Марки сталей и сплавов (Базовые материалы);Сталь 45 (ГОСТ 1050-2013);;Сталь 45 ГОСТ 1050-2013;;;Сталь 45;ГОСТ 1050-2013;DIN 201 сталь и отлитый из стали металл
04. Марки сталей и сплавов (Базовые материалы);Сталь 40Х (ГОСТ 4543-2016);;40Х ГОСТ 4543-2016;;;40Х;ГОСТ 4543-2016;DIN 201 сталь и отлитый из стали металл
04. Марки сталей и сплавов (Базовые материалы);Сталь 09Г2С (ГОСТ 19281-2014);;09Г2С ГОСТ 19281-2014;;;09Г2С;ГОСТ 19281-2014;DIN 201 сталь и отлитый из стали металл
